IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
SQM,Sao Miguel do Araguaia Airport,Sao Miguel Do Araguaia,Goiás,BR,-13.3313,-50.1976
MTG,Vila Bela da Santissima Trindade Airport,Vila Bela Da Santissima Trindade,Mato Grosso do Sul,BR,-15.01528,-59.96722
VLP,Vila Rica Airport,Vila Rica,Mato Grosso do Sul,BR,-9.97944,-51.14222
MBK,Regional Orlando Villas Boas Airport,Matupa,Mato Grosso do Sul,BR,-10.17028,-54.95278
NOK,Xavantina Airport,Nova Xavantina,Mato Grosso do Sul,BR,-14.6983,-52.3464
AHL,Aishalton Airport,Aishalton,Upper-Takutu-Upper-Essequibo,GY,2.48653,-59.3134
NAI,Annai Airport,Annai,Upper-Takutu-Upper-Essequibo,GY,3.95944,-59.1242
BCG,Bemichi Airport,Bemichi,Barima-Waini,GY,7.7,-59.16666
BMJ,Baramita Airport,Baramita,Barima-Waini,GY,7.37012,-60.488
GFO,Bartica A Airport,Bartica,Cuyuni-Mazaruni,GY,6.37477,-58.6381
GEO,Cheddi Jagan International Airport,Georgetown,Demerara-Mahaica,GY,6.49855,-58.2541
OGL,Ogle Airport,Ogle,Demerara-Mahaica,GY,6.80628,-58.1059
IMB,Imbaimadai Airport,Imbaimadai,Cuyuni-Mazaruni,GY,5.70811,-60.2942
KAR,Kamarang Airport,Kamarang,Cuyuni-Mazaruni,GY,5.86534,-60.6142
KRM,Karanambo Airport,Karanambo,Upper-Takutu-Upper-Essequibo,GY,3.75194,-59.3097
KRG,Karasabai Airport,Karasabai,Upper-Takutu-Upper-Essequibo,GY,4.03333,-59.5333
KTO,Kato Airport,Kato,Potaro-Siparuni,GY,4.64916,-59.8322
LUB,Lumid Pau Airport,Lumid Pau,Upper-Takutu-Upper-Essequibo,GY,2.39393,-59.441
LTM,Lethem Airport,Lethem,Upper-Takutu-Upper-Essequibo,GY,3.37276,-59.7894
USI,Mabaruma Airport,Mabaruma,Barima-Waini,GY,8.2,-59.7833
MHA,Mahdia Airport,Mahdia,Potaro-Siparuni,GY,5.27749,-59.1511
MYM,Monkey Mountain Airport,Monkey Mountain,Potaro-Siparuni,GY,4.48333,-59.6833
MWJ,Matthews Ridge Airport,Matthews Ridge,Barima-Waini,GY,7.48811,-60.18478
QSX,New Amsterdam Airport,New Amsterdam,East Berbice Corentyne,GY,6.24432,-57.47417
ORJ,Orinduik Airport,Orinduik,,GY,4.72527,-60.035
PRR,Paruma Airport,Paruma,Cuyuni-Mazaruni,GY,5.81545,-61.0554
ANU,V.C. Bird International Airport,St. George,Saint-George,AG,17.1367,-61.7927
BGI,Sir Grantley Adams International Airport,Bridgetown,Christ-Church,BB,13.0746,-59.4925
DCF,Canefield Airport,Canefield,Saint-Paul,DM,15.3367,-61.3922
DOM,Melville Hall Airport,Marigot,Saint-Andrew,DM,15.547,-61.3
DSD,La Desirade Airport,Grande Anse,Guadeloupe,GP,16.2969,-61.0844
BBR,Baillif Airport,Basse Terre,Guadeloupe,GP,16.0133,-61.7422
SFC,St-Francois Airport,St-Francois,Guadeloupe,GP,16.2578,-61.2625
FDF,Martinique Aime Cesaire International Airport,Fort-de-France,Martinique,MQ,14.591,-61.0032
SFG,L'Esperance Airport,Grand Case,,MF,18.0999,-63.0472
SBH,Gustaf III Airport,Gustavia,,BL,17.9044,-62.8436
GBJ,Les Bases Airport,Grand Bourg,Guadeloupe,GP,15.8687,-61.27
PTP,Pointe-a-Pitre Le Raizet,Pointe-a-Pitre Le Raizet,Guadeloupe,GP,16.2653,-61.5318
LSS,Terre-de-Haut Airport,Les Saintes,Guadeloupe,GP,15.8644,-61.5806
GND,Point Salines International Airport,Saint George's,Saint-George,GD,12.0042,-61.7862
CRU,Lauriston Airport,Carriacou Island,,GD,12.4761,-61.4728
STT,Cyril E King Airport,Charlotte Amalie,Virgin Islands,US,18.33731,-64.97333
STX,Henry E Rohlsen Airport,Christiansted,Virgin Islands,US,17.7015,-64.80194
ARE,Antonio/Nery/Juarbe Pol Airport,Arecibo,Puerto Rico,US,18.4509,-66.67545
BQN,Rafael Hernandez Airport,Aguadilla,Puerto Rico,US,18.49486,-67.12944
CPX,Benjamin Rivera Noriega Airport,Isla De Culebra,Puerto Rico,US,18.31295,-65.30388
SIG,Fernando Luis Ribas Dominicci Airport,San Juan,Puerto Rico,US,18.45678,-66.09847
MAZ,Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,US,18.25569,-67.14847
PSE,Mercedita Airport,Ponce,Puerto Rico,US,18.00878,-66.56452
NRR,Jose Aponte De La Torre Airport,Ceiba,Puerto Rico,US,18.24511,-65.64342
SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,US,18.4394,-66.00213
VQS,Antonio Rivera Rodriguez Airport,Isla De Vieques,Puerto Rico,US,18.13481,-65.49362
SKB,Robert L. Bradshaw International Airport,Basseterre,Saint-George-Basseterre,KN,17.3112,-62.7187
NEV,Vance W. Amory International Airport,Charlestown,Saint-James-Windwa,KN,17.2057,-62.5899
SLU,George F. L. Charles Airport,Castries,Castries,LC,14.0202,-60.9929
UVF,Hewanorra International Airport,Vieux Fort,Vieux-Fort,LC,13.7332,-60.9526
AUA,Queen Beatrix International Airport,Oranjestad,,AW,12.5014,-70.0152
BON,Flamingo International Airport,Kralendijk,Bonaire,BQ,12.131,-68.2685
CUR,Hato International Airport,Willemstad,,CW,12.1889,-68.9598
EUX,F. D. Roosevelt Airport,Sint Eustatius,Sint-Eustatius,BQ,17.4965,-62.9794
SXM,Princess Juliana International Airport,Saint Martin,,SX,18.041,-63.1089
SAB,Juancho E. Yrausquin Airport,Saba,Saba,BQ,17.645,-63.22
AXA,Wallblake Airport,The Valley,,AI,18.2048,-63.0551
MNI,John A. Osborne Airport,Gerald's Park,Saint-Peter,MS,16.7914,-62.1933
